# source: http://www.rsc.org/Membership/Networking/InterestGroups/Analytical/AMC/Datasets/index.asp
# Pattern recognition data. 16 trace elements determined in 186 pieces 
# of flint collected at 11 different locations
#TITLE: 	Trace elements in archaeological flint from different locations
#DESCRIPTION:	186 samples, 11 different locations, 16 trace elements.
#VARIABLES:	Li, Na, etc:  Element symbols.; Location:  Code identifying the different sites; 
#UNITS:		Mass fraction times 10^6 (parts per million)
#REFERENCE_VALUES:	None
#APPLICATION_SECTOR:	Archaeometry
#ANALYTE:	Trace elements
#MATRIX_TYPE:	Flint
#RATIONALE:	Source determination, supervised learning
#DATA_TYPE:	Mulitvariate
#DATA_STRUCTURE:	Simple. Each row shows results for a different object.
#CONDITIONS:	Repeatability
#ORIGIN:	Experimental
#DATE_OF_ORIGIN:	1986
#AUTHOR:	Professor Michael Thompson
#AUTHOR_ADDRESS:	School of Biological and Chemical Sciences, Birkbeck College (University of London), Malet Street, London WC1E 7HX, 	 
#LITERATURE_REFERENCES:	M Thompson, P R Bush and J Ferguson (1986); THE ANALYSIS OF FLINT BY ICPAES AS A METHOD OF SOURCE DETERMINATION. In: G de G Sieveking (ed), ‘The  Scientific Study of Flint’, Proceedings of the International Flint Symposium 1983, Brighton, pp 243-247.
Li	Na	K	Be	Mg	Ca	Sr	Ba	Al	Ti	V	Mn	Fe	Cu	Zn	P	Location
1.26	147	111	0.05	61	8700	24	0.52	194	6	0.83	3.7	33	0.79	2.5	97	3
1.3	149	114	0.05	55	7200	21	0.5	183	4.7	0.6	3.3	30	0.59	3	115	3
0.86	163	127	0.073	14.5	460	4.2	0.69	198	5.5	0.69	0.82	23	0.81	2.4	90	3
0.98	165	145	0.073	16.2	550	4.5	0.66	200	5.3	0.8	0.3	27	0.75	2.4	87	3
3.4	240	200	0.56	17.5	380	3.1	2.2	460	21	0.91	0.2	74	0.5	3.2	105	1
6.7	230	220	0.1	19.7	720	3.8	2.6	520	25	0.84	0.56	56	1.17	2	110	1
7.4	178	172	0.2	21	1280	4.6	1.93	410	23	1.01	0.97	50	0.72	1.66	149	1
6.7	420	181	0.01	250	18200	30	1.56	280	13.5	1.11	4.1	159	0.65	0.96	157	1
4.3	220	220	0.2	23	1250	5.1	10.1	500	28	1.26	0.97	101	1.17	4	113	1
1.34	200	154	0.03	37	4000	17.4	0.86	220	12.5	2.1	1.67	68	0.72	1.33	850	4
1.12	210	176	0.053	45	4200	13.8	1.09	210	10.3	1.8	2.3	146	0.65	1.56	430	4
1.27	250	164	0.03	112	14900	38	0.4	230	15.7	2.8	4.6	115	0.4	1.99	1090	4
1.46	191	147	0.04	43	5100	23	0.5	290	13.8	2.9	1.31	68	0.4	2.2	1110	4
2.2	240	195	0.03	128	17000	36	0.78	270	13.2	2.1	4.8	74	0.65	1.32	430	4
1.26	220	178	0.03	102	13800	29	0.2	230	12.7	1.97	4.3	66	0.53	1.11	520	4
1.67	250	186	0.03	115	15500	35	0.51	280	14.7	3.1	5.6	72	0.52	1.82	810	4
2.4	260	210	0.053	104	13500	29	0.6	340	14.1	3.2	6.7	105	1.23	3	750	4
1.44	260	200	0.052	80	9300	27	0.59	300	15.2	3.7	4	85	1.04	3.3	830	4
8	189	156	0.03	118	15800	32	0.64	290	21	1.99	4.8	80	0.4	1.81	520	4
4.3	187	210	0.57	23	185	1.25	4.5	510	27	3.9	1.69	1470	0.3	8	3	6
5.2	178	200	0.4	19.1	165	1.02	6.8	490	28	3.2	1.92	460	0.2	5	2.1	6
3.5	220	260	0.3	29	151	4.8	110	620	27	4.1	1.92	1180	0.3	7.2	1.82	6
3.9	194	320	0.5	32	115	11.6	64	680	36	3.6	3.9	900	0.64	4.4	4.2	6
4.3	198	280	0.2	16.9	111	0.97	4.8	530	33	1.8	5.6	310	0.3	0.5	2.3	6
30	120	210	0.096	19.9	104	1.85	33	620	32	6.4	2.3	490	1.05	4.6	5	6
3	180	220	0.2	18.2	137	14.8	141	500	28	2.2	0.58	370	0.3	2.3	0.74	6
3	168	210	0.3	20	210	1.03	7.7	590	23	2.4	1.5	450	0.3	0.97	5.3	6
